data,device,nome,id,variavel,valor
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,bit8,0
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,bit7,0
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,chave saida acido,0
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,chave saida alcalino,0
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,sensor sal,1
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,sensor acido,0
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,sensor alcalino,1
2022-07-07 19:54:02.601,62c70902cef56500194344ad,GRSA_TUB_001,62c739daa79191001a6a30c5,enable geral,off
2022-07-07 19:53:57.657,62c70902cef56500194344ad,GRSA_TUB_001,62c739d5a79191001a6a307b,ana_in_5,1321
2022-07-07 19:53:57.597,62c70902cef56500194344ad,GRSA_TUB_001,62c739d5a79191001a6a3078,ana_in_4,0
2022-07-07 19:53:52.957,62c70902cef56500194344ad,GRSA_TUB_001,62c739d0a79191001a6a3035,ana_in_5,1315
2022-07-07 19:53:52.596,62c70902cef56500194344ad,GRSA_TUB_001,62c739d0a79191001a6a3031,ana_in_4,0
2022-07-07 19:53:47.758,62c70902cef56500194344ad,GRSA_TUB_001,62c739cba79191001a6a2fd0,ana_in_5,1318
2022-07-07 19:53:47.634,62c70902cef56500194344ad,GRSA_TUB_001,62c739cba79191001a6a2fc1,ana_in_4,0
2022-07-07 19:53:42.850,62c70902cef56500194344ad,GRSA_TUB_001,62c739c6a79191001a6a2f67,ana_in_5,1325
2022-07-07 19:53:42.594,62c70902cef56500194344ad,GRSA_TUB_001,62c739c6a79191001a6a2f63,ana_in_4,0
2022-07-07 19:53:37.668,62c70902cef56500194344ad,GRSA_TUB_001,62c739c1a79191001a6a2f26,ana_in_5,1328
2022-07-07 19:53:37.598,62c70902cef56500194344ad,GRSA_TUB_001,62c739c1a79191001a6a2f24,ana_in_4,0
2022-07-07 19:53:32.661,62c70902cef56500194344ad,GRSA_TUB_001,62c739bca79191001a6a2eda,ana_in_5,1329
2022-07-07 19:53:32.585,62c70902cef56500194344ad,GRSA_TUB_001,62c739bca79191001a6a2ed8,ana_in_4,0
2022-07-07 19:53:27.642,62c70902cef56500194344ad,GRSA_TUB_001,62c739b7a79191001a6a2ea2,ana_in_5,1328
2022-07-07 19:53:27.582,62c70902cef56500194344ad,GRSA_TUB_001,62c739b7a79191001a6a2e9e,ana_in_4,0
2022-07-07 19:53:22.850,62c70902cef56500194344ad,GRSA_TUB_001,62c739b2a79191001a6a2e39,ana_in_5,1328
2022-07-07 19:53:22.582,62c70902cef56500194344ad,GRSA_TUB_001,62c739b2a79191001a6a2e34,ana_in_4,0
2022-07-07 19:53:17.874,62c70902cef56500194344ad,GRSA_TUB_001,62c739ada79191001a6a2e11,ana_in_5,1327
2022-07-07 19:53:17.782,62c70902cef56500194344ad,GRSA_TUB_001,62c739ada79191001a6a2e0e,ana_in_4,0
2022-07-07 19:53:12.713,62c70902cef56500194344ad,GRSA_TUB_001,62c739a8a79191001a6a2dca,ana_in_5,1332
2022-07-07 19:53:12.581,62c70902cef56500194344ad,GRSA_TUB_001,62c739a8a79191001a6a2dc7,ana_in_4,0
2022-07-07 19:53:07.670,62c70902cef56500194344ad,GRSA_TUB_001,62c739a3a79191001a6a2d6c,ana_in_5,1323
